[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes-app-initiator.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes-app-initiator.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes-app.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes-app.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/notes.min.js.LICENSE.txt
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/notes/vendors-node_modules_radix-ui_react-alert-dialog_dist_index_module_js-node_modules_radix-ui_r-e4587e.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-documents-extended/editor-documents-extended.asset.php
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-documents-extended/editor-documents-extended.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-documents-extended/editor-documents-extended.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-documents-extended/editor-documents-extended.strings.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-notes/editor-notes.asset.php
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-notes/editor-notes.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-notes/editor-notes.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-notes/editor-notes.strings.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-site-navigation-extended/editor-site-navigation-extended.asset.php
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-site-navigation-extended/editor-site-navigation-extended.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-site-navigation-extended/editor-site-navigation-extended.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/editor-site-navigation-extended/editor-site-navigation-extended.strings.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/ui/ui.asset.php
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/ui/ui.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/ui/ui.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/ui/ui.min.js.LICENSE.txt
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/packages/ui/ui.strings.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/page-transitions.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/page-transitions.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/paypal-button.3028ea98fc2e17fdfe8f.bundle.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/paypal-button.3d0d5af7df85963df32c.bundle.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/popup.085c1727e36940b18f29.bundle.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/popup.1f90f6cfd0d44ef28772.bundle.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/portfolio.9a52c1f0953359d74119.bundle.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/portfolio.b5c5e89624dc6b81a11a.bundle.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/posts.5d2d70b1d6918b6d8205.bundle.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/posts.caaf3e27e57db8207afc.bundle.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js.LICENSE.txt
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/preview.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/preview.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/product-add-to-cart.023d7d31fbf96c3dbdfc.bundle.min.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/product-add-to-cart.e099bc90899376d00959.bundle.js
[2024-05-11 09:52:02] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/progress-tracker.3ec316715116e9087057.bundle.js
